logP_uk,logP_eu,logP_w,I,I_uk,I_eu,I_w,rho,rho_uk,rho_eu,rho_w,dlogrho_uk,dlogrho_eu,dlogrho_w
0.653415036459823,-1.886671314693,-1.886671314693,0.00383945589425041,0.999285714285714,0.000357142857142857,0.000357142857142857,0.00495434491217225,0.97909794181772,2.75951615955162e-05,2.75951615955162e-05,0.0105062194143308,-0.989493780585669,-0.989493780585669
0.0496977164119816,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
1.39593943290415,-1.886671314693,-1.886671314693,0.175054506561356,0.301890930738983,0.349054534630509,0.349054534630509,0.197837570996649,0.49830162959034,0.0216229921946501,0.0216229921946501,0.29409516959413,-0.70590483040587,-0.70590483040587
0.121884646730321,-1.886671314693,-1.886671314693,0.497516694776969,0.991913434612925,0.00404328269353736,0.00404328269353736,0.850430478653746,0.912628136654995,0.000499171082077343,0.000499171082077343,0.0446842738366572,-0.955315726163343,-0.955315726163343
1.78383600926777,-1.886671314693,-1.886671314693,0.0376211828266623,1,0,0,0.0249405353381162,1,0,0,0,0,0
0.725573132981557,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
1.24053855366697,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
1.45430722118709,-1.886671314693,-1.886671314693,0.125558435147476,1,0,0,0.101434744663788,1,0,0,0,0,0
0.942415304712161,-1.886671314693,-1.886671314693,0.0223538607100251,1,0,0,0.0245516388553408,1,0,0,0,0,0
-2.50368656607688,-1.886671314693,-1.886671314693,0.133799552977635,0.848528326637698,0.0757358366811511,0.0757358366811511,0.627696930691353,0.304080785364667,0.0503025938179206,0.0503025938179206,0.448564794953508,-0.551435205046492,-0.551435205046492
0.261369056772063,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
-0.342186658979154,-1.886671314693,-1.886671314693,0.0033266142855184,1,0,0,0.0078971015274836,1,0,0,0,0,0
0.442873449462935,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
-1.37440099798995,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
1.193121015367,-1.886671314693,-1.886671314693,0.000929696820107779,1,0,0,0.000878498912486985,1,0,0,0,0,0
0.686808640643304,-1.886671314693,-1.886671314693,0,0,0,0,0,0,0,0,0,0,0
